,value__standard_deviation,value__variance,value__root_mean_square,value__maximum,value__absolute_maximum,value__minimum
0,0.0422823282237473,0.0017877952800206,0.0422823468220837,0.2441406,0.2441406,-0.2267761
1,0.0434004977623732,0.0018836032060217,0.0434005007965978,0.2684326,0.2714233,-0.2714233
2,0.029535051110886,0.0008723192441226,0.0295350623557514,0.2134705,0.2134705,-0.2103882
3,0.0181256945799178,0.0003285408040044,0.0181256945845204,0.08029175,0.1560669,-0.1560669
4,0.0388959794813287,0.0015128972198119,0.0388959913141066,0.3427734,0.3427734,-0.3320313
5,0.1147660816272836,0.0131712534920803,0.1147660912007073,0.9999695,0.9999695,-0.9413452
6,0.0182296897062416,0.0003323215867858,0.0182297629250625,0.1389771,0.1401062,-0.1401062
7,0.0252971343080863,0.0006399450042013,0.0252971344280684,0.1538391,0.1538391,-0.1355286
8,0.0314898425223266,0.0009916101820809,0.0314903120609835,0.1647949,0.2449951,-0.2449951
9,0.0354540351239749,0.001256988606572,0.0354540703517341,0.3040466,0.3040466,-0.2450562
10,0.1509032612406178,0.0227717942530541,0.1509034841064203,0.9999695,0.9999695,-0.9578247
11,0.2395955417097696,0.0574060236071979,0.2395955443682973,0.9999695,1.0,-1.0
12,0.0328625083190174,0.0010799444530174,0.0328625206731303,0.2035828,0.2035828,-0.196106
13,0.0437043444529457,0.0019100697240617,0.043704366168754,0.2569275,0.4954224,-0.4954224
14,0.0098890495932921,9.779330185859228e-05,0.0098890894041137,0.09991455,0.1232605,-0.1232605
15,0.0684759338719194,0.0046889535196314,0.068476095162256,0.4039001,0.4407654,-0.4407654
16,0.0739565912004404,0.005469577381989,0.0739566020982479,0.4682007,0.5811462,-0.5811462
17,0.0412219719575016,0.001699250972065,0.0412220510396749,0.285614,0.285614,-0.183136
18,0.0320060542407438,0.0010243875080614,0.0320060543489444,0.1807251,0.2711487,-0.2711487
19,0.0341085029422722,0.0011633899729629,0.0341085196534518,0.2252197,0.2431641,-0.2431641
20,0.0407255167232093,0.0016585677123724,0.0407255230667767,0.3380127,0.3380127,-0.2875366
21,0.0648052636533777,0.0041997221971838,0.0648052736134148,0.5151367,0.5151367,-0.4533386
22,0.0196153936824196,0.0003847636693163,0.0196154141531207,0.2148438,0.2148438,-0.1722107
23,0.0480985664071487,0.0023134720904228,0.048098585238138,0.2749939,0.4119873,-0.4119873
