value__permutation_entropy__dimension_3__tau_1,value__permutation_entropy__dimension_4__tau_1,value__partial_autocorrelation__lag_3,value__ar_coefficient__coeff_2__k_10,value__permutation_entropy__dimension_5__tau_1,value__permutation_entropy__dimension_6__tau_1,value__number_cwt_peaks__n_1,value__number_peaks__n_1,value__permutation_entropy__dimension_7__tau_1,value__ar_coefficient__coeff_1__k_10,"value__fft_aggregated__aggtype_""kurtosis""",value__maximum,value__absolute_maximum,value__mean_n_absolute_max__number_of_maxima_7,"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""",value__minimum,"value__fft_coefficient__attr_""abs""__coeff_63","value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""min""","value__fft_coefficient__attr_""abs""__coeff_58",value__value_count__value_0,target
1.2221968670763448,1.779522844054529,-0.3641760685872847,0.0395789598988973,2.375477204918673,3.002083543716304,873.0,1351.0,3.5962269090125414,1.0999126835434452,7.558634617170166,0.2441406,0.2441406,0.2329101428571428,2.189333941247271e-05,-0.2267761,2.0414697746599115,2.0206458600870345e-05,2.438005489272632,6.0,0
1.1480542443941577,1.6456222511979777,0.5035428958940027,-2.5481489303545186,2.1961402749432755,2.7774000643441834,666.0,1098.0,3.365738056281645,2.443050740043611,13.337207748059663,0.2684326,0.2714233,0.2669634142857143,2.591234874240022e-05,-0.2714233,4.105904546513719,2.1739257118747978e-05,6.889093349578919,6.0,1
1.6494183239155524,2.5456946091183728,-0.6545194560407905,0.5954913826622427,3.4708080764885967,4.431796173259117,1041.0,3688.0,5.335460557136671,1.2112804336604732,15.387752411624744,0.2134705,0.2134705,0.2079860285714285,1.915224799509684e-05,-0.2103882,2.658689849349201,1.5201615837919543e-05,0.9491459732656649,21.0,0
1.6635521662235118,2.6101216092247763,-0.5000664864704688,0.3365350242365544,3.569895861336673,4.564649889959809,1248.0,3824.0,5.506579811703449,1.1172503979792192,9.091339054886095,0.08029175,0.1560669,0.1543056,7.193415787240974e-06,-0.1560669,1.997953298143452,1.1099150268408748e-05,3.299574399613294,21.0,0
1.4797232544216223,2.1840560744717585,-0.5741335269538994,0.5975381804718088,2.926664781528026,3.6908618719513298,848.0,2564.0,4.417537238145741,0.86169880541601,6.212778584276804,0.3427734,0.3427734,0.3361075285714285,2.1467475349330613e-05,-0.3320313,5.858557810308176,2.1856264458675545e-05,1.633871999229402,5.0,0
1.2669662557173835,1.8594113639891807,0.5003487031921642,-2.04516703448594,2.502476017938528,3.1724661014704774,586.0,1527.0,3.82813535766231,2.380840782040171,28.69645771135845,0.9999695,0.9999695,0.9999694999999998,8.320101068615016e-05,-0.9413452,6.596644974193353,8.365179410098414e-05,3.483249692061373,7.0,1
1.517912587750459,2.401932138644274,-0.1481834980664819,-0.4544477937805743,3.339919459546594,4.330567796760922,990.0,2708.0,5.275150003178143,1.3663031210585468,7.489564889921166,0.1389771,0.1401062,0.1388767714285714,1.1957221742640618e-05,-0.1401062,1.2357522449281058,1.1353926082088083e-05,0.9761616129271398,40.0,0
1.290151690619053,1.8303107022397125,-0.4602112218983268,0.108858057247489,2.411987265111343,3.0213206450714414,852.0,1608.0,3.594247242251643,1.4511441364344948,21.4260419603281,0.1538391,0.1538391,0.1451023714285714,1.1422266713925056e-05,-0.1355286,0.8898451324738748,1.0890538061914907e-05,2.206354655539512,13.0,0
1.1593389806870564,1.6246453237090146,-0.0152341656274189,-0.1714084390635666,2.134305052781866,2.672467212972551,642.0,1104.0,3.1916147767855216,1.809392367166286,29.472524313506856,0.1647949,0.2449951,0.2339782857142857,1.5017007083322476e-05,-0.2449951,3.5374659754850954,2.0325531284892656e-05,4.393223075443861,8.0,0
1.5552081333199053,2.406160350715552,-0.5616579121500107,0.3949481198309192,3.3057790621443246,4.234359830646893,812.0,3021.0,5.122209145386288,1.2924473741392817,14.723644817222588,0.3040466,0.3040466,0.295772,2.3929446391386065e-05,-0.2450562,3.124026936043452,1.93568875936931e-05,3.315095367161787,11.0,0
1.3442093268925948,1.969214909287984,0.0907369843432345,-0.6893997816964536,2.627760179849138,3.309127083372533,532.0,1882.0,3.959076330784557,1.9653805410147025,29.171495330056,0.9999695,0.9999695,0.9996686714285712,0.0001055572945015,-0.9578247,7.554167646185682,9.052723059396334e-05,6.97456036767486,4.0,1
1.0473727720988553,1.4321125607902965,0.6133595872664805,-2.7071784928228286,1.8431168431809528,2.280794916466508,477.0,794.0,2.738427514571187,2.609088931402931,19.445139840688714,0.9999695,1.0,1.0,0.0001111852951096,-1.0,7.323000647584145,0.000126386530371,11.916853948983794,0.0,0
1.3629191785939692,2.0752594403654947,0.1145755738873289,-0.9465698795847654,2.8519960779558025,3.670557722073514,778.0,1960.0,4.471804695096239,1.9562926662085875,19.103323998063573,0.2035828,0.2035828,0.1998770714285714,1.8826762968682068e-05,-0.196106,1.930515787020131,2.009391488239141e-05,3.159778854430367,12.0,1
